date,home_team,away_team,home_score,away_score,tournament,city,country,id,home_result,away_result
2016-11-12,Austria,Republic of Ireland,0.0,1.0,FIFA World Cup qualification,Vienna,Austria,37254,loss,win
2016-11-12,Cameroon,Zambia,1.0,1.0,FIFA World Cup qualification,LimbÃ©,Cameroon,37255,draw,draw
2016-11-12,Cabo Verde,Burkina Faso,0.0,2.0,FIFA World Cup qualification,Praia,Cabo Verde,37256,loss,win
2016-11-12,Croatia,Iceland,2.0,0.0,FIFA World Cup qualification,Zagreb,Croatia,37257,win,loss
2016-11-12,Georgia,Moldova,1.0,1.0,FIFA World Cup qualification,Tbilisi,Georgia,37258,draw,draw
2016-11-12,"Hong Kong, China",Korea DPR,0.0,1.0,EAFF Championship,Kowloon,"Hong Kong, China",37259,loss,win
2016-11-12,Kenya,Mozambique,1.0,0.0,Friendly,Nairobi,Kenya,37260,win,loss
2016-11-12,Liechtenstein,Italy,0.0,4.0,FIFA World Cup qualification,Vaduz,Liechtenstein,37261,loss,win
2016-11-12,Macau,Brunei Darussalam,1.0,1.0,AFC Challenge Cup,Kuching,Malaysia,37262,draw,draw
2016-11-12,Mali,Gabon,0.0,0.0,FIFA World Cup qualification,Bamako,Mali,37263,draw,draw
2016-11-12,Morocco,Cote d'Ivoire,0.0,0.0,FIFA World Cup qualification,Marrakech,Morocco,37264,draw,draw
2016-11-12,Nepal,Laos,2.0,2.0,AFC Challenge Cup,Kuching,Malaysia,37265,draw,draw
2016-11-12,Aotearoa New Zealand,New Caledonia,2.0,0.0,FIFA World Cup qualification,Auckland,Aotearoa New Zealand,37266,win,loss
2016-11-12,Nigeria,Algeria,3.0,1.0,FIFA World Cup qualification,Uyo,Nigeria,37267,win,loss
2016-11-12,Spain,North Macedonia,4.0,0.0,FIFA World Cup qualification,Granada,Spain,37268,win,loss
2016-11-12,Turkiye,Kosovo,2.0,0.0,FIFA World Cup qualification,Antalya,Turkiye,37269,win,loss
2016-11-12,Uganda,Congo,1.0,0.0,FIFA World Cup qualification,Kampala,Uganda,37270,win,loss
2016-11-12,Ukraine,Finland,1.0,0.0,FIFA World Cup qualification,Odessa,Ukraine,37271,win,loss
2016-11-12,Wales,Serbia,1.0,1.0,FIFA World Cup qualification,Cardiff,Wales,37272,draw,draw
2016-11-13,Belgium,Estonia,8.0,1.0,FIFA World Cup qualification,Brussels,Belgium,37273,win,loss
2016-11-13,Bulgaria,Belarus,1.0,0.0,FIFA World Cup qualification,Sofia,Bulgaria,37274,win,loss
2016-11-13,Cyprus,Gibraltar,3.0,1.0,FIFA World Cup qualification,Nicosia,Cyprus,37275,win,loss
2016-11-13,Egypt,Ghana,2.0,0.0,FIFA World Cup qualification,Alexandria,Egypt,37276,win,loss
2016-11-13,Greece,Bosnia and Herzegovina,1.0,1.0,FIFA World Cup qualification,Piraeus,Greece,37277,draw,draw
2016-11-13,Guinea,Congo DR,1.0,2.0,FIFA World Cup qualification,Conakry,Guinea,37278,loss,win
2016-11-13,Hungary,Andorra,4.0,0.0,FIFA World Cup qualification,Budapest,Hungary,37279,win,loss
2016-11-13,Jamaica,Suriname,1.0,0.0,CFU Caribbean Cup qualification,Kingston,Jamaica,37280,win,loss
2016-11-13,Luxembourg,Netherlands,1.0,3.0,FIFA World Cup qualification,Luxembourg,Luxembourg,37281,loss,win
2016-11-13,Portugal,Latvia,4.0,1.0,FIFA World Cup qualification,Faro,Portugal,37282,win,loss
2016-11-13,Singapore,Cambodia,1.0,0.0,Friendly,Bishan,Singapore,37283,win,loss
2016-11-13,Solomon Islands,Tahiti,1.0,0.0,FIFA World Cup qualification,Honiara,Solomon Islands,37284,win,loss
2016-11-13,St Kitts and Nevis,Haiti,0.0,2.0,CFU Caribbean Cup qualification,Basseterre,St Kitts and Nevis,37285,loss,win
2016-11-13,Switzerland,Faroe Islands,2.0,0.0,FIFA World Cup qualification,Lucerne,Switzerland,37286,win,loss
2016-11-13,Tajikistan,Afghanistan,1.0,0.0,Friendly,Dushanbe,Tajikistan,37287,win,loss
2016-11-13,Zimbabwe,Tanzania,3.0,0.0,Friendly,Harare,Zimbabwe,37288,win,loss
2016-11-14,Myanmar,Oman,0.0,3.0,Friendly,Yangon,Myanmar,37289,loss,win
2016-11-14,Laos,Brunei Darussalam,3.0,2.0,AFC Challenge Cup,Kuching,Malaysia,37290,win,loss
2016-11-14,Malaysia,Papua New Guinea,2.0,1.0,Friendly,Shah Alam,Malaysia,37291,win,loss
2016-11-14,Poland,Slovenia,1.0,1.0,Friendly,WrocÅaw,Poland,37292,draw,draw
2016-11-15,Argentina,Colombia,3.0,0.0,FIFA World Cup qualification,San Juan,Argentina,37293,win,loss
2016-11-15,Austria,Slovakia,0.0,0.0,Friendly,Vienna,Austria,37294,draw,draw
2016-11-15,Bahrain,Kyrgyz Republic,0.0,0.0,Friendly,Riffa,Bahrain,37295,draw,draw
2016-11-15,Bolivia,Paraguay,1.0,0.0,FIFA World Cup qualification,La Paz,Bolivia,37296,win,loss
2016-11-15,Chile,Uruguay,3.0,1.0,FIFA World Cup qualification,Santiago,Chile,37297,win,loss
2016-11-15,China PR,Qatar,0.0,0.0,FIFA World Cup qualification,Kunming,China PR,37298,draw,draw
2016-11-15,Costa Rica,USA,4.0,0.0,FIFA World Cup qualification,San JosÃ©,Costa Rica,37299,win,loss
2016-11-15,Czechia,Denmark,1.0,1.0,Friendly,MladÃ¡ Boleslav,Czechia,37300,draw,draw
2016-11-15,Ecuador,Venezuela,3.0,0.0,FIFA World Cup qualification,Quito,Ecuador,37301,win,loss
2016-11-15,England,Spain,2.0,2.0,Friendly,London,England,37302,draw,draw
2016-11-15,France,Cote d'Ivoire,0.0,0.0,Friendly,Lens,France,37303,draw,draw
2016-11-15,Gabon,Comoros,1.0,1.0,Friendly,Tunis,Tunisia,37304,draw,draw
2016-11-15,Honduras,Trinidad and Tobago,3.0,1.0,FIFA World Cup qualification,San Pedro Sula,Honduras,37305,win,loss
2016-11-15,Italy,Germany,0.0,0.0,Friendly,Milan,Italy,37306,draw,draw
2016-11-15,Japan,Saudi Arabia,2.0,1.0,FIFA World Cup qualification,Saitama,Japan,37307,win,loss
2016-11-15,Jordan,Lebanon,0.0,0.0,Friendly,Amman,Jordan,37308,draw,draw
2016-11-15,Kenya,Liberia,1.0,0.0,Friendly,Nairobi,Kenya,37309,win,loss
2016-11-15,Korea Republic,Uzbekistan,2.0,1.0,FIFA World Cup qualification,Seoul,Korea Republic,37310,win,loss
2016-11-15,Malta,Iceland,0.0,2.0,Friendly,Attard,Malta,37311,loss,win
2016-11-15,Morocco,Togo,2.0,1.0,Friendly,Marrakech,Morocco,37312,win,loss
2016-11-15,Mozambique,South Africa,1.0,1.0,Friendly,Maputo,Mozambique,37313,draw,draw
2016-11-15,Nepal,Macau,1.0,0.0,AFC Challenge Cup,Kuching,Malaysia,37314,win,loss
2016-11-15,New Caledonia,Aotearoa New Zealand,0.0,0.0,FIFA World Cup qualification,KonÃ©,New Caledonia,37315,draw,draw
2016-11-15,Northern Ireland,Croatia,0.0,3.0,Friendly,Belfast,Northern Ireland,37316,loss,win
2016-11-15,Panama,Mexico,0.0,0.0,FIFA World Cup qualification,Panama City,Panama,37317,draw,draw
2016-11-15,Peru,Brazil,0.0,2.0,FIFA World Cup qualification,Lima,Peru,37318,loss,win
2016-11-15,Russia,Romania,1.0,0.0,Friendly,Groznyy,Russia,37319,win,loss
